place_type,hour,day_of_week,duration_hours
shopping_mall,11,3,2.32
restaurant,17,5,1.53
viewpoint,15,2,0.63
zoo,11,5,2.67
church,11,1,1.48
zoo,18,3,2.98
monument,13,0,0.76
viewpoint,20,3,0.5
restaurant,17,4,1.99
cafe,13,0,0.98
park,17,5,1.24
park,18,4,1.45
cafe,13,2,1.12
cafe,16,1,0.55
beach,20,0,2.64
restaurant,9,3,1.82
viewpoint,18,4,0.68
monument,18,6,0.81
museum,20,2,1.76
museum,10,6,2.26
cafe,10,6,0.55
restaurant,15,0,2.38
cafe,16,0,1.41
church,11,2,1.42
monument,12,1,0.87
viewpoint,15,4,0.99
church,12,5,0.64
restaurant,10,6,2.31
shopping_mall,16,0,2.11
museum,12,2,1.5
monument,19,4,1.31
beach,19,3,3.33
zoo,10,6,2.97
museum,12,0,2.17
zoo,19,4,2.61
beach,20,1,3.36
cafe,14,1,0.55
restaurant,13,3,2.17
monument,16,6,0.61
beach,18,3,2.59
museum,14,1,1.57
shopping_mall,9,3,2.67
restaurant,12,5,1.93
beach,9,6,2.44
viewpoint,12,4,0.76
cafe,15,0,0.97
shopping_mall,19,5,1.8
viewpoint,19,1,0.9
zoo,14,3,2.02
zoo,16,4,2.16
park,15,0,1.95
park,20,1,1.46
church,19,2,1.16
beach,9,6,3.62
monument,19,6,0.5
restaurant,17,0,1.81
cafe,9,2,1.44
beach,12,4,2.48
zoo,15,0,2.04
zoo,20,3,3.0
viewpoint,16,0,0.58
zoo,13,2,2.15
zoo,9,5,2.93
viewpoint,15,1,0.59
museum,15,5,2.1
monument,14,6,0.72
monument,19,0,1.07
viewpoint,16,2,0.82
restaurant,12,2,2.21
monument,18,4,1.25
shopping_mall,9,0,1.82
restaurant,12,1,1.24
museum,19,6,1.79
park,12,3,1.17
cafe,16,6,0.78
cafe,18,0,0.6
church,12,6,1.47
park,9,6,1.44
church,12,2,1.3
church,20,5,0.54
shopping_mall,11,4,1.51
monument,13,6,1.09
cafe,18,2,0.91
monument,13,6,0.62
viewpoint,17,4,0.9
cafe,11,0,1.42
cafe,19,6,1.27
beach,11,5,3.6
beach,12,3,2.59
shopping_mall,16,0,2.28
monument,16,5,0.67
monument,12,0,1.26
restaurant,10,5,1.95
shopping_mall,10,0,2.06
church,19,4,0.69
zoo,18,1,2.52
park,20,0,1.85
shopping_mall,9,0,2.63
monument,13,3,1.08
viewpoint,20,5,0.55
shopping_mall,14,4,2.7
viewpoint,9,3,0.87
viewpoint,9,6,0.67
park,19,6,1.84
museum,15,1,1.57
shopping_mall,11,6,2.74
viewpoint,9,6,0.87
zoo,19,1,2.63
church,10,6,0.51
church,11,5,1.16
beach,13,5,3.04
park,18,0,1.61
zoo,19,6,2.06
restaurant,10,5,1.35
shopping_mall,16,2,2.99
church,19,0,0.81
restaurant,18,0,2.2
museum,14,0,2.06
beach,13,0,2.49
restaurant,14,0,1.53
monument,15,3,0.74
viewpoint,14,4,0.88
cafe,16,4,0.85
viewpoint,14,6,0.92
viewpoint,14,6,0.99
church,20,6,0.92
restaurant,12,0,1.35
viewpoint,11,5,0.69
shopping_mall,17,2,1.81
museum,19,6,2.36
church,11,4,1.21
zoo,20,5,2.83
viewpoint,11,0,0.8
viewpoint,18,4,0.53
museum,18,2,1.57
restaurant,9,6,2.45
beach,12,2,3.83
church,10,1,1.2
monument,12,1,0.58
restaurant,15,6,1.53
church,15,6,0.75
restaurant,14,3,2.24
monument,16,5,0.63
zoo,16,6,2.63
park,13,6,1.57
beach,20,5,3.9
church,11,6,1.14
zoo,18,3,2.73
shopping_mall,13,6,2.99
zoo,13,1,2.0
shopping_mall,11,0,2.95
beach,13,5,3.92
viewpoint,12,0,0.68
restaurant,16,3,1.4
church,20,1,0.91
museum,10,5,1.91
monument,9,3,0.53
church,9,4,1.39
monument,18,4,0.89
park,18,2,1.96
shopping_mall,17,5,1.65
museum,12,6,1.57
viewpoint,11,4,0.72
monument,11,4,1.28
monument,15,2,1.41
church,16,1,0.97
cafe,10,3,0.96
museum,12,5,2.37
cafe,15,2,1.07
cafe,17,2,0.9
monument,17,4,1.11
shopping_mall,12,4,2.46
monument,10,6,0.55
viewpoint,17,3,0.66
viewpoint,19,2,0.85
beach,14,4,2.84
park,16,4,1.12
restaurant,16,6,1.16
beach,13,4,3.97
restaurant,18,6,2.1
monument,20,4,1.36
zoo,9,5,2.81
restaurant,11,4,2.18
church,16,4,0.99
restaurant,20,4,1.33
cafe,10,3,0.59
church,14,6,0.73
beach,16,6,2.44
beach,19,3,3.33
shopping_mall,9,2,1.75
monument,13,4,1.4
museum,12,5,2.41
zoo,20,4,2.67
shopping_mall,13,6,3.0
viewpoint,15,2,0.88
viewpoint,9,1,0.93
cafe,13,2,1.05
restaurant,20,3,2.12
beach,16,4,3.14
church,16,0,0.58
church,13,0,0.88
zoo,10,2,2.71
viewpoint,18,4,0.92
shopping_mall,10,2,1.94
monument,11,1,1.0
shopping_mall,10,6,2.75
shopping_mall,15,6,1.93
monument,17,6,1.4
cafe,17,2,1.48
church,12,5,0.85
beach,9,3,2.38
church,12,2,1.39
beach,15,6,2.38
monument,9,1,1.31
zoo,13,5,2.42
viewpoint,18,2,0.69
museum,18,3,2.06
park,12,2,1.46
beach,14,2,3.88
cafe,12,5,0.58
restaurant,11,3,1.97
cafe,10,5,1.32
viewpoint,18,0,0.6
cafe,9,2,1.49
church,15,5,0.58
park,10,0,1.34
museum,18,1,2.08
monument,16,1,1.36
monument,15,3,1.36
shopping_mall,19,3,2.4
shopping_mall,20,0,2.68
restaurant,12,4,1.52
monument,16,3,0.51
shopping_mall,14,5,1.82
monument,9,4,1.33
beach,9,0,3.94
zoo,10,3,2.95
restaurant,11,5,1.59
zoo,18,4,2.17
monument,11,1,1.46
zoo,19,0,2.12
viewpoint,15,6,0.93
beach,16,1,2.67
viewpoint,13,2,0.71
restaurant,11,5,1.04
cafe,18,6,1.32
church,13,5,1.14
restaurant,13,0,1.52
monument,20,3,0.73
park,9,2,1.98
zoo,13,4,2.98
