place_type,hour,weekday,duration
park,15,tuesday,1.94
shopping_mall,11,thursday,2.32
restaurant,17,saturday,1.53
viewpoint,15,wednesday,0.63
zoo,11,saturday,2.67
church,11,tuesday,1.48
zoo,18,thursday,2.98
monument,13,monday,0.76
viewpoint,20,thursday,0.5
restaurant,17,friday,1.99
cafe,13,monday,0.98
park,17,saturday,1.24
park,18,friday,1.45
cafe,13,wednesday,1.12
cafe,16,tuesday,0.55
beach,20,monday,2.64
restaurant,9,thursday,1.82
viewpoint,18,friday,0.68
monument,18,sunday,0.81
museum,20,wednesday,1.76
museum,10,sunday,2.26
cafe,10,sunday,0.55
restaurant,15,monday,2.38
cafe,16,monday,1.41
church,11,wednesday,1.42
monument,12,tuesday,0.87
viewpoint,15,friday,0.99
church,12,saturday,0.64
restaurant,10,sunday,2.31
shopping_mall,16,monday,2.11
museum,12,wednesday,1.5
monument,19,friday,1.31
beach,19,thursday,3.33
zoo,10,sunday,2.97
museum,12,monday,2.17
zoo,19,friday,2.61
beach,20,tuesday,3.36
cafe,14,tuesday,0.55
restaurant,13,thursday,2.17
monument,16,sunday,0.61
beach,18,thursday,2.59
museum,14,tuesday,1.57
shopping_mall,9,thursday,2.67
restaurant,12,saturday,1.93
beach,9,sunday,2.44
viewpoint,12,friday,0.76
cafe,15,monday,0.97
shopping_mall,19,saturday,1.8
viewpoint,19,tuesday,0.9
zoo,14,thursday,2.02
zoo,16,friday,2.16
park,15,monday,1.95
park,20,tuesday,1.46
church,19,wednesday,1.16
beach,9,sunday,3.62
monument,19,sunday,0.5
restaurant,17,monday,1.81
cafe,9,wednesday,1.44
beach,12,friday,2.48
zoo,15,monday,2.04
zoo,20,thursday,3.0
viewpoint,16,monday,0.58
zoo,13,wednesday,2.15
zoo,9,saturday,2.93
viewpoint,15,tuesday,0.59
museum,15,saturday,2.1
monument,14,sunday,0.72
monument,19,monday,1.07
viewpoint,16,wednesday,0.82
restaurant,12,wednesday,2.21
monument,18,friday,1.25
shopping_mall,9,monday,1.82
restaurant,12,tuesday,1.24
museum,19,sunday,1.79
park,12,thursday,1.17
cafe,16,sunday,0.78
cafe,18,monday,0.6
church,12,sunday,1.47
park,9,sunday,1.44
church,12,wednesday,1.3
church,20,saturday,0.54
shopping_mall,11,friday,1.51
monument,13,sunday,1.09
cafe,18,wednesday,0.91
monument,13,sunday,0.62
viewpoint,17,friday,0.9
cafe,11,monday,1.42
cafe,19,sunday,1.27
beach,11,saturday,3.6
beach,12,thursday,2.59
shopping_mall,16,monday,2.28
monument,16,saturday,0.67
monument,12,monday,1.26
restaurant,10,saturday,1.95
shopping_mall,10,monday,2.06
church,19,friday,0.69
zoo,18,tuesday,2.52
park,20,monday,1.85
shopping_mall,9,monday,2.63
monument,13,thursday,1.08
viewpoint,20,saturday,0.55
shopping_mall,14,friday,2.7
viewpoint,9,thursday,0.87
viewpoint,9,sunday,0.67
park,19,sunday,1.84
museum,15,tuesday,1.57
shopping_mall,11,sunday,2.74
viewpoint,9,sunday,0.87
zoo,19,tuesday,2.63
church,10,sunday,0.51
church,11,saturday,1.16
beach,13,saturday,3.04
park,18,monday,1.61
zoo,19,sunday,2.06
restaurant,10,saturday,1.35
shopping_mall,16,wednesday,2.99
church,19,monday,0.81
restaurant,18,monday,2.2
museum,14,monday,2.06
beach,13,monday,2.49
restaurant,14,monday,1.53
monument,15,thursday,0.74
viewpoint,14,friday,0.88
cafe,16,friday,0.85
viewpoint,14,sunday,0.92
viewpoint,14,sunday,0.99
church,20,sunday,0.92
restaurant,12,monday,1.35
viewpoint,11,saturday,0.69
shopping_mall,17,wednesday,1.81
museum,19,sunday,2.36
church,11,friday,1.21
zoo,20,saturday,2.83
viewpoint,11,monday,0.8
viewpoint,18,friday,0.53
museum,18,wednesday,1.57
restaurant,9,sunday,2.45
beach,12,wednesday,3.83
church,10,tuesday,1.2
monument,12,tuesday,0.58
restaurant,15,sunday,1.53
church,15,sunday,0.75
restaurant,14,thursday,2.24
monument,16,saturday,0.63
zoo,16,sunday,2.63
park,13,sunday,1.57
beach,20,saturday,3.9
church,11,sunday,1.14
zoo,18,thursday,2.73
shopping_mall,13,sunday,2.99
zoo,13,tuesday,2.0
shopping_mall,11,monday,2.95
beach,13,saturday,3.92
viewpoint,12,monday,0.68
restaurant,16,thursday,1.4
church,20,tuesday,0.91
museum,10,saturday,1.91
monument,9,thursday,0.53
church,9,friday,1.39
monument,18,friday,0.89
park,18,wednesday,1.96
shopping_mall,17,saturday,1.65
museum,12,sunday,1.57
viewpoint,11,friday,0.72
monument,11,friday,1.28
monument,15,wednesday,1.41
church,16,tuesday,0.97
cafe,10,thursday,0.96
museum,12,saturday,2.37
cafe,15,wednesday,1.07
cafe,17,wednesday,0.9
monument,17,friday,1.11
shopping_mall,12,friday,2.46
monument,10,sunday,0.55
viewpoint,17,thursday,0.66
viewpoint,19,wednesday,0.85
beach,14,friday,2.84
park,16,friday,1.12
restaurant,16,sunday,1.16
beach,13,friday,3.97
restaurant,18,sunday,2.1
monument,20,friday,1.36
zoo,9,saturday,2.81
restaurant,11,friday,2.18
church,16,friday,0.99
restaurant,20,friday,1.33
cafe,10,thursday,0.59
church,14,sunday,0.73
beach,16,sunday,2.44
beach,19,thursday,3.33
shopping_mall,9,wednesday,1.75
monument,13,friday,1.4
museum,12,saturday,2.41
zoo,20,friday,2.67
shopping_mall,13,sunday,3.0
viewpoint,15,wednesday,0.88
viewpoint,9,tuesday,0.93
cafe,13,wednesday,1.05
restaurant,20,thursday,2.12
beach,16,friday,3.14
church,16,monday,0.58
church,13,monday,0.88
zoo,10,wednesday,2.71
viewpoint,18,friday,0.92
shopping_mall,10,wednesday,1.94
monument,11,tuesday,1.0
shopping_mall,10,sunday,2.75
shopping_mall,15,sunday,1.93
monument,17,sunday,1.4
cafe,17,wednesday,1.48
church,12,saturday,0.85
beach,9,thursday,2.38
church,12,wednesday,1.39
beach,15,sunday,2.38
monument,9,tuesday,1.31
zoo,13,saturday,2.42
viewpoint,18,wednesday,0.69
museum,18,thursday,2.06
park,12,wednesday,1.46
beach,14,wednesday,3.88
cafe,12,saturday,0.58
restaurant,11,thursday,1.97
cafe,10,saturday,1.32
viewpoint,18,monday,0.6
cafe,9,wednesday,1.49
church,15,saturday,0.58
park,10,monday,1.34
museum,18,tuesday,2.08
monument,16,tuesday,1.36
monument,15,thursday,1.36
shopping_mall,19,thursday,2.4
shopping_mall,20,monday,2.68
restaurant,12,friday,1.52
monument,16,thursday,0.51
shopping_mall,14,saturday,1.82
monument,9,friday,1.33
beach,9,monday,3.94
zoo,10,thursday,2.95
restaurant,11,saturday,1.59
zoo,18,friday,2.17
monument,11,tuesday,1.46
zoo,19,monday,2.12
viewpoint,15,sunday,0.93
beach,16,tuesday,2.67
viewpoint,13,wednesday,0.71
restaurant,11,saturday,1.04
cafe,18,sunday,1.32
church,13,saturday,1.14
restaurant,13,monday,1.52
monument,20,thursday,0.73
park,9,wednesday,1.98
zoo,13,friday,2.98
